Average Weekly Points (QB) 2020 Season,,,,
Player,Fantasy Points,Rostered,Projected Rank,Actual Rank
Player Note,21.33,100%,4,13
Lamar Jackson Bal - QB,,,,
Sun 10:00 am vs Pit?,,,,
Player Note,24.49,100%,1,4
Patrick Mahomes KC - QB,,,,
Sun 10:00 am vs NYJ?,,,,
Player Note,30.55,100%,2,1
Russell Wilson Sea - QB,,,,
Sun 1:25 pm vs SF?,,,,
Player Note,28.94,100%,3,3
Kyler Murray Ari - QB,,,,
Bye,,,,
Player Note,22.79,99%,6,10
Deshaun Watson Hou - QB,,,,
Bye,,,,
Player Note,24.45,99%,5,5
Josh Allen Buf - QB,,,,
Sun 10:00 am vs NE?,,,,
Player Note,22.7,98%,8,12
Aaron Rodgers GB - QB,,,,
Sun 10:00 am vs Min?,,,,
Player Note,19.33,94%,12,19
Matt Ryan Atl - QB,,,,
Thu 5:20 pm @ Car?,,,,
Player Note,22.16,93%,13,18
Tom Brady TB - QB,,,,
Mon 5:15 pm @ NYG?,,,,
Player Note,19.29,89%,20,25
Drew Brees NO - QB,,,,
Sun 1:25 pm @ Chi?,,,,
Player Note,18.07,85%,15,24
Ben Roethlisberger Pit - QB,,,,
Sun 10:00 am @ Bal?,,,,
New Player Note,19.15,84%,7,7
Cam Newton NE - QB,,,,
Sun 10:00 am @ Buf?,,,,
Player Note,22.62,82%,9,6
Ryan Tannehill Ten - QB,,,,
Sun 10:00 am @ Cin?,,,,
Player Note,17.98,78%,19,26
Matthew Stafford Det - QB,,,,
Sun 10:00 am vs Ind?,,,,
Player Note,25.76,77%,14,9
Justin Herbert LAC - QB,,,,
Sun 1:05 pm @ Den?,,,,
Player Note,21.84,70%,10,14
Carson Wentz Phi - QB,,,,
Sun 5:20 pm vs Dal?,,,,
Player Note,19.08,70%,16,21
Jared Goff LAR - QB,,,,
Sun 10:00 am @ Mia?,,,,
Player Note,19.43,64%,17,30
Joe Burrow Cin - QB,,,,
Sun 10:00 am vs Ten?,,,,
Player Note,17.61,44%,21,27
Teddy Bridgewater Car - QB,,,,
Thu 5:20 pm vs Atl?,,,,
Player Note,19.34,43%,11,20
Gardner Minshew II Jax - QB,,,,
Bye,,,,
Player Note,16.04,33%,27,51
Baker Mayfield Cle - QB,,,,
Sun 10:00 am vs LV?,,,,
Player Note,13.32,30%,31,41
Jimmy Garoppolo SF - QB,,,,
Sun 1:25 pm @ Sea?,,,,
Player Note,19.39,30%,23,23
Derek Carr LV - QB,,,,
Sun 10:00 am @ Cle?,,,,
Player Note,0.36,29%,78,497
Tua Tagovailoa Mia - QB,,,,
Sun 10:00 am vs LAR?,,,,
Player Note,17.08,29%,25,29
Kirk Cousins Min - QB,,,,
Sun 10:00 am @ GB?,,,,
